Time,Pid,IP Client,Message,error_labels,error_labels2
2021-11-09 02:23:34.514324,30471,212.193.30.154,"[client 212.193.30.154] ModSecurity: Warning. Matched phrase ""/.env"" at REQUEST_FILENAME. [file ""/usr/share/modsecurity-crs/rules/REQUEST-930-APPLICATION-ATTACK-LFI.conf""] [line ""204""] [id ""930130""] [msg ""Restricted File Access Attempt""] [data ""Matched Data: /.env found within REQUEST_FILENAME: /.env""] [severity ""CRITICAL""] [ver ""OWASP_CRS/3.4.0-dev""] [tag ""application-multi""] [tag ""language-multi""] [tag ""platform-multi""] [tag ""attack-lfi""] [tag ""paranoia-level/1""] [tag ""OWASP_CRS""] [tag ""capec/1000/255/153/126""] [tag ""PCI/6.5.4""] [hostname ""tickets-tracker-muni.sfmtechnologies.com""] [uri ""/.env""] [unique_id ""YYnNliwHWA26I5vcreLxsAAAAAo""]",1,Dangerous
2021-11-09 02:23:34.519464,30471,212.193.30.154,"[client 212.193.30.154] ModSecurity: Access denied with code 403 (phase 2). Operator GE matched 5 at TX:anomaly_score. [file ""/usr/share/modsecurity-crs/rules/REQUEST-949-BLOCKING-EVALUATION.conf""] [line ""151""] [id ""949110""] [msg ""Inbound Anomaly Score Exceeded (Total Score: 5)""] [severity ""CRITICAL""] [ver ""OWASP_CRS/3.4.0-dev""] [tag ""application-multi""] [tag ""language-multi""] [tag ""platform-multi""] [tag ""attack-generic""] [hostname ""tickets-tracker-muni.sfmtechnologies.com""] [uri ""/.env""] [unique_id ""YYnNliwHWA26I5vcreLxsAAAAAo""]",1,Dangerous
2021-11-09 02:23:34.521500,30471,212.193.30.154,"[client 212.193.30.154] ModSecurity: Warning. Operator GE matched 5 at TX:inbound_anomaly_score. [file ""/usr/share/modsecurity-crs/rules/RESPONSE-980-CORRELATION.conf""] [line ""88""] [id ""980130""] [msg ""Inbound Anomaly Score Exceeded (Total Inbound Score: 5 - SQLI=0,XSS=0,RFI=0,LFI=5,RCE=0,PHPI=0,HTTP=0,SESS=0): individual paranoia level scores: 5, 0, 0, 0""] [ver ""OWASP_CRS/3.4.0-dev""] [tag ""event-correlation""] [hostname ""tickets-tracker-muni.sfmtechnologies.com""] [uri ""/.env""] [unique_id ""YYnNliwHWA26I5vcreLxsAAAAAo""]",0,Not Dangerous
2021-11-09 02:23:34.669216,30468,212.193.30.154,"[client 212.193.30.154] ModSecurity: Warning. Matched phrase ""/.env"" at REQUEST_FILENAME. [file ""/usr/share/modsecurity-crs/rules/REQUEST-930-APPLICATION-ATTACK-LFI.conf""] [line ""204""] [id ""930130""] [msg ""Restricted File Access Attempt""] [data ""Matched Data: /.env found within REQUEST_FILENAME: /.env""] [severity ""CRITICAL""] [ver ""OWASP_CRS/3.4.0-dev""] [tag ""application-multi""] [tag ""language-multi""] [tag ""platform-multi""] [tag ""attack-lfi""] [tag ""paranoia-level/1""] [tag ""OWASP_CRS""] [tag ""capec/1000/255/153/126""] [tag ""PCI/6.5.4""] [hostname ""tickets-tracker-muni.sfmtechnologies.com""] [uri ""/.env""] [unique_id ""YYnNloswGUaFWJybACFVQQAAAAA""]",1,Dangerous
2021-11-09 02:23:34.673245,30468,212.193.30.154,"[client 212.193.30.154] ModSecurity: Access denied with code 403 (phase 2). Operator GE matched 5 at TX:anomaly_score. [file ""/usr/share/modsecurity-crs/rules/REQUEST-949-BLOCKING-EVALUATION.conf""] [line ""151""] [id ""949110""] [msg ""Inbound Anomaly Score Exceeded (Total Score: 5)""] [severity ""CRITICAL""] [ver ""OWASP_CRS/3.4.0-dev""] [tag ""application-multi""] [tag ""language-multi""] [tag ""platform-multi""] [tag ""attack-generic""] [hostname ""tickets-tracker-muni.sfmtechnologies.com""] [uri ""/.env""] [unique_id ""YYnNloswGUaFWJybACFVQQAAAAA""]",1,Dangerous
2021-11-09 02:23:34.675044,30468,212.193.30.154,"[client 212.193.30.154] ModSecurity: Warning. Operator GE matched 5 at TX:inbound_anomaly_score. [file ""/usr/share/modsecurity-crs/rules/RESPONSE-980-CORRELATION.conf""] [line ""88""] [id ""980130""] [msg ""Inbound Anomaly Score Exceeded (Total Inbound Score: 5 - SQLI=0,XSS=0,RFI=0,LFI=5,RCE=0,PHPI=0,HTTP=0,SESS=0): individual paranoia level scores: 5, 0, 0, 0""] [ver ""OWASP_CRS/3.4.0-dev""] [tag ""event-correlation""] [hostname ""tickets-tracker-muni.sfmtechnologies.com""] [uri ""/.env""] [unique_id ""YYnNloswGUaFWJybACFVQQAAAAA""]",0,Not Dangerous
2021-11-09 05:21:27.279415,30640,212.193.30.154,"[client 212.193.30.154] ModSecurity: Warning. Matched phrase ""/.env"" at REQUEST_FILENAME. [file ""/usr/share/modsecurity-crs/rules/REQUEST-930-APPLICATION-ATTACK-LFI.conf""] [line ""204""] [id ""930130""] [msg ""Restricted File Access Attempt""] [data ""Matched Data: /.env found within REQUEST_FILENAME: /.env""] [severity ""CRITICAL""] [ver ""OWASP_CRS/3.4.0-dev""] [tag ""application-multi""] [tag ""language-multi""] [tag ""platform-multi""] [tag ""attack-lfi""] [tag ""paranoia-level/1""] [tag ""OWASP_CRS""] [tag ""capec/1000/255/153/126""] [tag ""PCI/6.5.4""] [hostname ""tickets-tracker-muni.sfmtechnologies.com""] [uri ""/.env""] [unique_id ""YYn3R@Jv9PY@Nve14fpPiwAAAAI""]",1,Dangerous
2021-11-09 05:21:27.283476,30640,212.193.30.154,"[client 212.193.30.154] ModSecurity: Access denied with code 403 (phase 2). Operator GE matched 5 at TX:anomaly_score. [file ""/usr/share/modsecurity-crs/rules/REQUEST-949-BLOCKING-EVALUATION.conf""] [line ""151""] [id ""949110""] [msg ""Inbound Anomaly Score Exceeded (Total Score: 5)""] [severity ""CRITICAL""] [ver ""OWASP_CRS/3.4.0-dev""] [tag ""application-multi""] [tag ""language-multi""] [tag ""platform-multi""] [tag ""attack-generic""] [hostname ""tickets-tracker-muni.sfmtechnologies.com""] [uri ""/.env""] [unique_id ""YYn3R@Jv9PY@Nve14fpPiwAAAAI""]",1,Dangerous
2021-11-09 05:21:27.284149,30640,212.193.30.154,"[client 212.193.30.154] ModSecurity: Warning. Operator GE matched 5 at TX:inbound_anomaly_score. [file ""/usr/share/modsecurity-crs/rules/RESPONSE-980-CORRELATION.conf""] [line ""88""] [id ""980130""] [msg ""Inbound Anomaly Score Exceeded (Total Inbound Score: 5 - SQLI=0,XSS=0,RFI=0,LFI=5,RCE=0,PHPI=0,HTTP=0,SESS=0): individual paranoia level scores: 5, 0, 0, 0""] [ver ""OWASP_CRS/3.4.0-dev""] [tag ""event-correlation""] [hostname ""tickets-tracker-muni.sfmtechnologies.com""] [uri ""/.env""] [unique_id ""YYn3R@Jv9PY@Nve14fpPiwAAAAI""]",0,Not Dangerous
2021-11-09 05:21:27.346581,30473,212.193.30.154,"[client 212.193.30.154] ModSecurity: Warning. Matched phrase ""/.env"" at REQUEST_FILENAME. [file ""/usr/share/modsecurity-crs/rules/REQUEST-930-APPLICATION-ATTACK-LFI.conf""] [line ""204""] [id ""930130""] [msg ""Restricted File Access Attempt""] [data ""Matched Data: /.env found within REQUEST_FILENAME: /.env""] [severity ""CRITICAL""] [ver ""OWASP_CRS/3.4.0-dev""] [tag ""application-multi""] [tag ""language-multi""] [tag ""platform-multi""] [tag ""attack-lfi""] [tag ""paranoia-level/1""] [tag ""OWASP_CRS""] [tag ""capec/1000/255/153/126""] [tag ""PCI/6.5.4""] [hostname ""tickets-tracker-muni.sfmtechnologies.com""] [uri ""/.env""] [unique_id ""YYn3R8lUZWpqW-5dM8BWMAAAAAU""]",1,Dangerous
